RecordID,Date,Country,TemperatureAnomaly_C,CO2Level_ppm,ExtremeWeatherEvent, EconomicImpact_USD ,PopulationAffected
07cecceb-69e6-47eb-a19b-34d6824cdea8,11/17/2019,India,-0.15,410.44,Drought," 8,630,289.48 ",375036
a6e7e2a5-00ea-4af2-b151-a1a63386e436,5/18/2014,Australia,-0.03,376.37,Tornado," 1,379,227.03 ",274952
6890cfe8-21d3-4c0d-9b6a-e543e308c06e,4/15/2002,Japan,0.55,362.97,Wildfire," 1,093,567.72 ",4422930
ac61117f-9b84-4327-be46-67a8d84bca24,10/13/2013,India,-0.51,396.67,Flood," 5,260,336.62 ",2122860
2df860a5-07e4-4832-a344-ae198276cdb8,10/15/2020,USA,1.78,367.59,Wildfire," 4,567,592.01 ",2433756
ee9cf5ac-c292-4554-b1c5-c3c2ad68d417,9/14/2000,Russia,1.67,402.59,Flood," 1,146,504.34 ",2259698
b30c5f7c-7625-49af-9f50-0bd1247a2eca,5/6/2008,France,1.11,359.2,Hurricane," 8,598,469.30 ",3182851
21239a82-cacf-4d51-8cf5-5902abce7f91,1/31/2022,USA,0.05,383.61,Drought," 3,106,828.88 ",2293836
c47f072c-e734-4781-b6c4-af60e900ae35,11/10/2017,France,1.93,390.54,Heatwave," 4,546,552.47 ",145646
61544595-ba63-4572-83f9-cd737d2ba9c4,11/28/2016,USA,-0.22,366.36,Wildfire," 7,026,303.57 ",448327
31f5d638-1d59-472c-a9fd-41e883be4a25,11/22/2006,USA,-0.79,412.2,Flood," 2,641,272.94 ",2844197
056db5c5-a079-4fa5-917b-edc55e420e60,8/31/2017,Germany,0.32,360.51,Flood," 5,112,372.97 ",1867257
87ab67e5-9087-4894-a682-94ff5b9a83e0,9/13/2006,India,1.94,351.72,Hurricane," 3,879,456.01 ",476073
fb613441-a635-4905-b479-a502d7238076,7/2/2008,Germany,-0.01,402.19,Flood," 6,380,389.59 ",2796407
